"vote","income","female","age"
1,"high",0,25
1,"high",1,23
1,"moderate",0,24
1,"high",1,30
0,"moderate",0,37
0,"high",0,53
1,"high",0,20
1,"high",1,55
1,"high",0,58
1,"lowest",0,30
1,"high",0,57
1,"low",0,75
0,"moderate",0,31
0,"high",1,33
1,"moderate",1,39
0,"lowest",1,36
1,"moderate",0,45
0,"high",0,37
1,"high",0,40
1,"lowest",1,26
0,"moderate",0,34
0,"highest",0,58
1,"moderate",1,46
0,"lowest",0,50
0,"moderate",1,36
0,"high",0,39
1,"moderate",1,34
0,"moderate",1,45
1,"moderate",1,75
1,"highest",1,60
1,"high",1,42
1,"moderate",1,36
1,"moderate",1,28
1,"moderate",0,35
1,"high",0,41
0,"lowest",1,46
0,"high",1,32
1,"low",1,79
0,"low",0,58
0,"moderate",0,34
0,"low",1,34
0,"highest",1,57
1,"moderate",0,45
1,"high",1,60
1,"moderate",0,18
0,"low",0,60
1,"high",1,42
0,"low",1,22
1,"highest",0,21
1,"lowest",1,30
0,"moderate",1,22
1,"high",0,39
0,"moderate",1,49
1,"highest",0,23
1,"high",1,60
0,"lowest",1,52
1,"highest",0,31
1,"moderate",0,68
1,"moderate",1,69
0,"high",0,21
0,"moderate",1,29
0,"low",0,82
0,"high",1,26
1,"high",1,37
1,"high",0,33
1,"high",0,62
1,"highest",0,31
1,"low",1,84
0,"high",0,46
0,"moderate",1,25
1,"high",1,18
1,"moderate",0,32
1,"high",0,46
1,"lowest",1,22
1,"moderate",0,32
0,"low",1,47
1,"high",0,59
1,"moderate",1,58
1,"high",1,50
1,"high",0,44
0,"high",0,58
1,"highest",0,73
1,"moderate",1,59
1,"high",0,23
1,"moderate",1,35
1,"high",0,38
0,"moderate",1,46
0,"lowest",1,36
0,"highest",0,29
1,"high",0,43
1,"lowest",1,29
1,"high",1,34
1,"moderate",0,35
1,"moderate",0,22
0,"moderate",1,61
1,"highest",0,33
1,"moderate",1,34
1,"high",1,49
1,"low",0,32
1,"moderate",0,30
1,"high",1,34
0,"high",1,68
0,"lowest",0,24
0,"moderate",1,29
0,"moderate",0,31
1,"high",0,30
1,"moderate",1,42
0,"lowest",1,62
1,"moderate",0,35
1,"high",0,40
1,"high",0,33
1,"high",1,38
1,"moderate",1,29
1,"highest",0,40
0,"low",1,35
1,"highest",0,56
1,"low",1,69
1,"moderate",1,31
0,"moderate",1,40
0,"high",1,45
0,"high",0,57
1,"lowest",1,30
1,"low",1,45
0,"lowest",0,21
0,"lowest",1,29
1,"highest",0,37
1,"moderate",0,55
1,"high",1,34
0,"moderate",1,46
1,"moderate",0,45
0,"lowest",1,73
1,"high",0,65
1,"moderate",1,34
1,"high",1,30
0,"moderate",1,34
1,"lowest",0,54
1,"high",1,31
1,"moderate",1,36
0,"high",1,50
1,"highest",1,42
1,"high",0,40
1,"highest",1,49
0,"moderate",1,49
0,"moderate",1,39
1,"moderate",0,65
